job_id,title,location,department,salary_min,salary_max,currency,salary_unit,first_seen,last_seen,is_active,snapshot_url,description_md
4017544008,Prompt Engineer & Librarian,"San Francisco, CA",,250000,375000,USD,annual,20240426,20260104,False,https://web.archive.org/web/20240426040935/https://boards.greenhouse.io/anthropic/jobs/4017544008,"## **About Anthropic**

Anthropic’s mission is to create reliable, interpretable, and steerable AI systems. We want AI to be safe and beneficial for our users and for society as a whole. Our team is a quickly growing group of committed researchers, engineers, policy experts, and business leaders working together to build beneficial AI systems.

Anthropic’s AI technology is amongst the most capable and safe in the world. However, large language models are a new type of intelligence, and the art of instructing them in a way that delivers the best results is still in its infancy — it’s a hybrid between programming, instructing, and teaching. We’re bringing rigor to this new discipline by applying a range of techniques to systematically discover and document prompting best practices, and finding ways of making it easy for our customers to do the same. 

Given that the field of prompt-engineering is arguably less than 2 years old, this position is a bit hard to hire for! As a result, we ask that you share with us a specific prompt engineering project on LLMs that you’re proud of in your application! Ideally this project should show off a complex and clever prompting architecture or a systematic evaluation of an LLM’s behavior. If you have extensive ML experience, we’d take a complex ML project that involved careful dataset curation and processing as well as extensive benchmarking as a substitute. 

## Responsibilities:

  * Discover, test, and document best practices for a wide range of tasks relevant to our customers.
  * Build up a library of high quality prompts or prompt chains to accomplish a variety of tasks, with an easy guide to help users search for the one that meets their needs.
  * Build a set of tutorials and interactive tools that teach the art of prompt engineering to our customers.
  * Work with large enterprise customers on their prompting strategies

## You may be a good fit if you:

  * Have 3-5 years of relevant or transferrable experience.
  * Have at least a high level familiarity with the architecture and operation of large language models.
  * Are an excellent communicator, and love teaching technical concepts and creating high quality documentation that helps out others.
  * Are excited to talk to motivated customers and help solve their problems. 
  * Have a creative hacker spirit and love solving puzzles.
  * Have a firm grasp of programming in Python and experience with data structures/algorithms.
  * Have an organizational mindset and enjoy building teams from the ground up.
  * You think holistically and can proactively identify the needs of an organization.
  * Make ambiguous problems clear and identify core principles that can translate across scenarios.
  * Have a passion for making powerful technology safe and societally beneficial.
  * You anticipate unforeseen risks, model out scenarios, and provide actionable guidance to internal stakeholders.
  * Think creatively about the risks and benefits of new technologies, and think beyond past checklists and playbooks.
  * You stay up-to-date and informed by taking an active interest in emerging research and industry trends.

**Deadline to apply:** None. Applications will be reviewed on a rolling basis. 

The expected salary range for this position is:

Annual Salary:

$250,000—$375,000 USD

## **Logistics**

**Location-based hybrid policy:** Currently, we expect all staff to be in one of our offices at least 25% of the time.

**US visa sponsorship:** We do sponsor visas! However, we aren't able to successfully sponsor visas for every role and every candidate; operations roles are especially difficult to support. But if we make you an offer, we will make every effort to get you into the United States, and we retain an immigration lawyer to help with this.

**We encourage you to apply even if you do not believe you meet every single qualification.** Not all strong candidates will meet every single qualification as listed. Research shows that people who identify as being from underrepresented groups are more prone to experiencing imposter syndrome and doubting the strength of their candidacy, so we urge you not to exclude yourself prematurely and to submit an application if you're interested in this work. We think AI systems like the ones we're building have enormous social and ethical implications. We think this makes representation even more important, and we strive to include a range of diverse perspectives on our team.

**Compensation and Benefits***

Anthropic’s compensation package consists of three elements: salary, equity, and benefits. We are committed to pay fairness and aim for these three elements collectively to be highly competitive with market rates.

**Equity** \- On top of this position's salary (listed above), equity will be a major component of the total compensation. We aim to offer higher-than-average equity compensation for a company of our size, and communicate equity amounts at the time of offer issuance.

**US Benefits** \- The following benefits are for our US-based employees:

  * Optional equity donation matching at a 3:1 ratio, up to 50% of your equity grant.
  * Comprehensive health, dental, and vision insurance for you and all your dependents.
  * 401(k) plan with 4% matching.
  * 22 weeks of paid parental leave.
  * Unlimited PTO – most staff take between 4-6 weeks each year, sometimes more!
  * Stipends for education, home office improvements, commuting, and wellness.
  * Fertility benefits via Carrot.
  * Daily lunches and snacks in our office.
  * Relocation support for those moving to the Bay Area.

**UK Benefits** \- The following benefits are for our UK-based employees:

  * Optional equity donation matching at a 3:1 ratio, up to 50% of your equity grant.
  * Private health, dental, and vision insurance for you and your dependents.
  * Pension contribution (matching 4% of your salary).
  * 21 weeks of paid parental leave.
  * Unlimited PTO – most staff take between 4-6 weeks each year, sometimes more!
  * Health cash plan.
  * Life insurance and income protection.
  * Daily lunches and snacks in our office.

_* This compensation and benefits information is based on Anthropic’s good faith estimate for this position as of the date of publication and may be modified in the future. Employees based outside of the UK or US will receive a different benefits package. The level of pay within the range will depend on a variety of job-related factors, including where you place on our internal performance ladders, which is based on factors including past work experience, relevant education, and performance on our interviews or in a work trial._

## **How we're different**

We believe that the highest-impact AI research will be big science. At Anthropic we work as a single cohesive team on just a few large-scale research efforts. And we value impact — advancing our long-term goals of steerable, trustworthy AI — rather than work on smaller and more specific puzzles. We view AI research as an empirical science, which has as much in common with physics and biology as with traditional efforts in computer science. We're an extremely collaborative group, and we host frequent research discussions to ensure that we are pursuing the highest-impact work at any given time. As such, we greatly value communication skills. We do not have boundaries between engineering and research, and we expect all of our technical staff to contribute to both as needed.

The easiest way to understand our research directions is to read our recent research. This research continues many of the directions our team worked on prior to Anthropic, including: GPT-3, Circuit-Based Interpretability, Multimodal Neurons, Scaling Laws, AI & Compute, Concrete Problems in AI Safety, and Learning from Human Preferences.

## **Come work with us!**

Anthropic is a public benefit corporation based in San Francisco. We offer competitive compensation and benefits, optional equity donation matching, generous vacation and parental leave, flexible working hours, and a lovely office space in which to collaborate with colleagues."
4018934008,"Engineering Manager, Anthropic Labs","San Francisco, CA",,405000,485000,USD,annual,20240429,20240429,False,https://web.archive.org/web/20240429234025/https://boards.greenhouse.io/anthropic/jobs/4018934008),
4023345008,"Technical Program Manager, Product Engineering","San Francisco, CA, Seattle, WA",,320000,405000,USD,annual,20240504,20240714,False,https://web.archive.org/web/20240504220307/https://boards.greenhouse.io/anthropic/jobs/4023345008,
4018206008,"Software Engineer, Product","San Francisco, CA, New York City, NY, Seattle, WA",,300000,520000,USD,annual,20240506,20250902,False,https://web.archive.org/web/20240506221903/https://boards.greenhouse.io/anthropic/jobs/4018206008,
4023357008,"Software Engineer, UI","San Francisco, CA, New York City, NY, Seattle, WA",,200000,400000,USD,annual,20240506,20240730,False,https://web.archive.org/web/20240506221912/https://boards.greenhouse.io/anthropic/jobs/4023357008,
4018170008,"Software Engineer, Research Infrastructure","San Francisco, CA, New York City, NY, Seattle, WA",,300000,480000,USD,annual,20240510,20240510,False,https://web.archive.org/web/20240510172854/https://boards.greenhouse.io/anthropic/jobs/4018170008,
4020134008,"Software Engineer, Anthropic Labs","San Francisco, CA",,320000,485000,USD,annual,20240515,20240615,False,https://web.archive.org/web/20240515021440/https://boards.greenhouse.io/anthropic/jobs/4020134008,
4034972008,"Evaluations Manager, Responsible Scaling Team","Remote-Friendly (Travel-Required), San Francisco, CA, Seattle, WA, New York City, NY",,320000,485000,USD,annual,20240519,20240802,False,https://web.archive.org/web/20240519031945/https://boards.greenhouse.io/anthropic/jobs/4034972008,
4034999008,"Safety Cases Manager, Responsible Scaling Team","Remote-Friendly (Travel-Required), San Francisco, CA, Seattle, WA, New York City, NY",,320000,485000,USD,annual,20240519,20240824,False,https://web.archive.org/web/20240519031931/https://boards.greenhouse.io/anthropic/jobs/4034999008,
4035151008,Policy Research Analyst,"San Francisco, CA",,230000,260000,USD,annual,20240519,20240722,False,https://web.archive.org/web/20240519031940/https://boards.greenhouse.io/anthropic/jobs/4035151008,
4009165008,"Research Engineer, Alignment Science","Remote-Friendly (Travel-Required), San Francisco, CA, Seattle, WA, New York City, NY",,280000,625000,USD,annual,20240520,20250411,False,https://web.archive.org/web/20240520072442/https://boards.greenhouse.io/anthropic/jobs/4009165008,
4009173008,"Team Manager, Interpretability","Remote-Friendly (Travel-Required), San Francisco, CA, New York City, NY",,320000,485000,USD,annual,20240520,20251101,False,https://web.archive.org/web/20240520072334/https://boards.greenhouse.io/anthropic/jobs/4009173008,
4019963008,Senior Software Security Engineer,"San Francisco, CA",,320000,405000,USD,annual,20240520,20251204,False,https://web.archive.org/web/20240520072335/https://boards.greenhouse.io/anthropic/jobs/4019963008,
4020058008,"Research Engineer, RSP Evaluations (Autonomy)","San Francisco, CA, New York City, NY, Seattle, WA",,315000,510000,USD,annual,20240520,20240619,False,https://web.archive.org/web/20240520072453/https://boards.greenhouse.io/anthropic/jobs/4020058008,
